subset,source,column,rows,non_null,non_null_rate,distinct
swe,kaggle_arshkon,city_extracted,4691,3675,0.7834150500959284,666
swe,kaggle_arshkon,state_normalized,4691,3516,0.7495203581325943,47
swe,kaggle_arshkon,country_extracted,4691,4357,0.9287998294606694,9
swe,kaggle_arshkon,is_remote_inferred,4691,4691,1.0,1
swe,kaggle_arshkon,metro_area,4691,2774,0.5913451289703688,73
swe,kaggle_arshkon,metro_source,4691,4691,1.0,4
swe,kaggle_arshkon,metro_confidence,4691,4691,1.0,3
swe,kaggle_arshkon,period,4691,4691,1.0,1
swe,kaggle_arshkon,scrape_week,4691,0,0.0,0
swe,kaggle_arshkon,date_flag,4691,4691,1.0,1
swe,kaggle_arshkon,is_english,4691,4691,1.0,1
swe,kaggle_arshkon,description_hash,4691,4691,1.0,4664
swe,kaggle_arshkon,ghost_job_risk,4691,4691,1.0,3
swe,kaggle_arshkon,description_quality_flag,4691,4691,1.0,1
swe,kaggle_arshkon,preprocessing_version,4691,4691,1.0,1
swe,kaggle_arshkon,dedup_method,4691,4691,1.0,1
swe,kaggle_arshkon,analysis_group,4691,4691,1.0,1
swe,kaggle_arshkon,selection_date_bin,4691,4691,1.0,12
swe,kaggle_arshkon,analysis_in_scope,4691,4691,1.0,1
swe,kaggle_arshkon,eligible_for_extraction,4691,4691,1.0,2
swe,kaggle_arshkon,llm_text_skip_reason,4691,4,0.0008526966531656363,1
swe,kaggle_arshkon,description_core_llm,4691,4653,0.9918993817949264,4611
swe,kaggle_arshkon,extraction_input_hash,4691,4691,1.0,4691
swe,kaggle_arshkon,selected_for_llm_frame,4691,4691,1.0,2
swe,kaggle_arshkon,selected_for_control_cohort,4691,4691,1.0,1
swe,kaggle_arshkon,llm_extraction_sample_tier,4691,4691,1.0,2
swe,kaggle_arshkon,llm_extraction_reason,4691,4691,1.0,2
swe,kaggle_arshkon,llm_extraction_coverage,4691,4691,1.0,2
swe,kaggle_arshkon,llm_extraction_resolution,4691,4691,1.0,3
swe,kaggle_arshkon,needs_llm_classification,4691,4691,1.0,2
swe,kaggle_arshkon,classification_input_hash,4691,2917,0.6218290343210403,2908
swe,kaggle_arshkon,llm_classification_sample_tier,4691,4691,1.0,2
swe,kaggle_arshkon,llm_classification_reason,4691,4691,1.0,3
swe,kaggle_arshkon,swe_classification_llm,4691,2917,0.6218290343210403,3
swe,kaggle_arshkon,ghost_assessment_llm,4691,2917,0.6218290343210403,3
swe,kaggle_arshkon,yoe_min_years_llm,4691,2098,0.44723939458537626,17
swe,kaggle_arshkon,llm_model_classification,4691,2917,0.6218290343210403,1
swe,kaggle_arshkon,llm_prompt_version_classification,4691,2917,0.6218290343210403,1
swe,kaggle_arshkon,llm_classification_coverage,4691,4691,1.0,3
swe,kaggle_arshkon,llm_classification_resolution,4691,4691,1.0,4
swe,kaggle_asaniczka,uid,18129,18129,1.0,18129
swe,kaggle_asaniczka,job_id,18129,18129,1.0,18129
swe,kaggle_asaniczka,source,18129,18129,1.0,1
swe,kaggle_asaniczka,source_platform,18129,18129,1.0,1
swe,kaggle_asaniczka,site,18129,18129,1.0,1
swe,kaggle_asaniczka,title,18129,18129,1.0,9056
swe,kaggle_asaniczka,title_normalized,18129,18129,1.0,7577
swe,kaggle_asaniczka,company_name,18129,18129,1.0,4867
swe,kaggle_asaniczka,company_name_normalized,18129,18129,1.0,4867
swe,kaggle_asaniczka,location,18129,18128,0.9999448397595013,1842
swe,kaggle_asaniczka,date_posted,18129,18129,1.0,6
swe,kaggle_asaniczka,scrape_date,18129,0,0.0,0
swe,kaggle_asaniczka,description,18129,18129,1.0,17952
swe,kaggle_asaniczka,description_raw,18129,18129,1.0,17952
swe,kaggle_asaniczka,description_length,18129,18129,1.0,7034
swe,kaggle_asaniczka,seniority_native,18129,18129,1.0,2
swe,kaggle_asaniczka,company_industry,18129,0,0.0,0
swe,kaggle_asaniczka,company_size,18129,0,0.0,0
swe,kaggle_asaniczka,company_size_raw,18129,0,0.0,0
swe,kaggle_asaniczka,company_size_category,18129,0,0.0,0
swe,kaggle_asaniczka,search_query,18129,18129,1.0,414
swe,kaggle_asaniczka,query_tier,18129,0,0.0,0
swe,kaggle_asaniczka,search_metro_id,18129,0,0.0,0
swe,kaggle_asaniczka,search_metro_name,18129,17235,0.9506867449942081,705
swe,kaggle_asaniczka,search_metro_region,18129,0,0.0,0
swe,kaggle_asaniczka,search_location,18129,0,0.0,0
swe,kaggle_asaniczka,work_type,18129,0,0.0,0
swe,kaggle_asaniczka,is_remote,18129,18129,1.0,2
swe,kaggle_asaniczka,job_url,18129,18129,1.0,18129
swe,kaggle_asaniczka,skills_raw,18129,18114,0.9991725963925203,18106
swe,kaggle_asaniczka,asaniczka_skills,18129,18114,0.9991725963925203,18106
swe,kaggle_asaniczka,company_id_kaggle,18129,0,0.0,0
swe,kaggle_asaniczka,posting_age_days,18129,0,0.0,0
swe,kaggle_asaniczka,is_aggregator,18129,18129,1.0,2
swe,kaggle_asaniczka,real_employer,18129,901,0.049699376689282364,150
swe,kaggle_asaniczka,company_name_effective,18129,18129,1.0,4988
swe,kaggle_asaniczka,company_name_canonical,18129,18129,1.0,4948
swe,kaggle_asaniczka,company_name_canonical_method,18129,18129,1.0,4
swe,kaggle_asaniczka,is_multi_location,18129,18129,1.0,2
swe,kaggle_asaniczka,is_swe,18129,18129,1.0,1
swe,kaggle_asaniczka,is_swe_adjacent,18129,18129,1.0,1
swe,kaggle_asaniczka,swe_confidence,18129,18129,1.0,249
swe,kaggle_asaniczka,swe_classification_tier,18129,18129,1.0,3
swe,kaggle_asaniczka,is_control,18129,18129,1.0,1
swe,kaggle_asaniczka,seniority_final,18129,18129,1.0,5
swe,kaggle_asaniczka,seniority_final_source,18129,18129,1.0,3
swe,kaggle_asaniczka,seniority_3level,18129,18129,1.0,4
swe,kaggle_asaniczka,yoe_extracted,18129,12834,0.7079265265596558,19
swe,kaggle_asaniczka,yoe_min_extracted,18129,12834,0.7079265265596558,19
swe,kaggle_asaniczka,yoe_max_extracted,18129,12834,0.7079265265596558,20
swe,kaggle_asaniczka,yoe_match_count,18129,18129,1.0,20
swe,kaggle_asaniczka,yoe_resolution_rule,18129,18129,1.0,12
swe,kaggle_asaniczka,yoe_all_mentions_json,18129,14063,0.7757184621324948,11889
swe,kaggle_asaniczka,yoe_seniority_contradiction,18129,18129,1.0,2
swe,kaggle_asaniczka,city_extracted,18129,17513,0.9660212918528325,1612
swe,kaggle_asaniczka,state_normalized,18129,16600,0.9156599922775663,51
