metro_area,period_group,archetype_name,labeled_n,share_of_metro_period
Seattle Metro,2026,Defense Clearance Systems,10,0.015015015015015015
Tampa Bay Metro,2024,Enterprise Application Support,77,0.37745098039215685
Tampa Bay Metro,2024,Java Dotnet Web Services,60,0.29411764705882354
Tampa Bay Metro,2024,Defense Clearance Systems,37,0.18137254901960784
Tampa Bay Metro,2024,Cloud DevOps Infrastructure,15,0.07352941176470588
Tampa Bay Metro,2024,Embedded Firmware Systems,10,0.049019607843137254
Tampa Bay Metro,2024,Large Employer Data Platforms,3,0.014705882352941176
Tampa Bay Metro,2024,AI LLM Platforms,2,0.00980392156862745
Tampa Bay Metro,2026,Java Dotnet Web Services,20,0.2777777777777778
Tampa Bay Metro,2026,Enterprise Application Support,16,0.2222222222222222
Tampa Bay Metro,2026,AI LLM Platforms,15,0.20833333333333334
Tampa Bay Metro,2026,Cloud DevOps Infrastructure,10,0.1388888888888889
Tampa Bay Metro,2026,Defense Clearance Systems,8,0.1111111111111111
Tampa Bay Metro,2026,Product Backend Engineering,3,0.041666666666666664
Washington DC Metro,2024,Defense Clearance Systems,937,0.47061778001004523
Washington DC Metro,2024,Enterprise Application Support,514,0.25816172777498747
Washington DC Metro,2024,Java Dotnet Web Services,222,0.11150175791059769
Washington DC Metro,2024,Cloud DevOps Infrastructure,157,0.07885484681064792
Washington DC Metro,2024,Embedded Firmware Systems,49,0.024610748367654443
Washington DC Metro,2024,Large Employer Data Platforms,45,0.022601707684580613
Washington DC Metro,2024,AI LLM Platforms,39,0.019588146659969864
Washington DC Metro,2024,Product Backend Engineering,28,0.014063284781516826
Washington DC Metro,2026,Defense Clearance Systems,320,0.35359116022099446
Washington DC Metro,2026,Cloud DevOps Infrastructure,169,0.1867403314917127
